id,name,county,city,address,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y
130,Take 16 Brewing Co.,LUV,Luverne,509 E Main St,,,,4pm-7pm,,,,,Brewery,http://www.take16beer.com,-96.20355385199996,43.654337878000035
131,Bank Brewing Co.,LIN,Hendricks,200 S Main St,,,,,4pm-8pm,4pm-8pm,,,Brewery,http://www.bankbrewing.com/,-96.42599120099999,44.50522439400003
132,Goat Ridge Brewing Co.,KAN,New London,17 Central Ave W,,,,3pm-9pm,12pm-10pm,12pm-10pm,,,Brewery,http://www.goatridgebrewing.com/,-94.94463575499998,45.30112049500007
133,Talking Waters Brewing,CHP,Montevideo,205 S 1st St,,,,3pm-10pm,3pm-10pm,12pm-10pm,,,Brewery,https://www.talkingwatersbrewing.com,-95.72433622999995,44.944614854000065
134,Starkeller Brewing Co.,,NEW ULM,2135-2199 N GARDEN ST,,,,,,,,,,http://schellsbrewery.com/,-94.49189894999995,44.33228546500004
135,Enki Brewing Co.,CAR,Victoria,1495 Stieger Lake Ln,,4pm-10pm,4pm-10pm,4pm-10pm,2pm-10pm,12pm-10pm,12pm-7pm,new location,Brewery,http://www.enkibrewing.com/,-93.65645924099994,44.861408963000024
136,U4IC Brewing Co.,SCO,Belle Plaine,23436 Union Tr,,,,4pm-9pm,4pm-11pm,12pm-11pm,,,Brewery,http://u4icbrewing.com,-93.85541964599997,44.60931007600004
137,Waconia Brewing Co.,CAR,Waconia,255 W Main St,4pm-9pm,4pm-9pm,2pm-9pm,2pm-9pm,2pm-10pm,11am-10pm,11am-9pm,,Brewery,http://www.waconiabrewing.com/,-93.79013767199996,44.85026853800008
138,Schram Vineyard Winery & Brewery,CAR,Waconia,8785 Airport Rd,,,,1pm-9pm,1pm-9pm,12pm-9pm,12pm-5pm,summer hours April - October,Brewery,http://www.schramvineyards.com/p/home.html,-93.74485497399996,44.84379492300007
139,The Freehouse,HPN,Minneapolis,701 N Washington Ave,6:30am-2am,6:30am-2am,6:30am-2am,6:30am-2am,6:30am-2am,6:30am-2am,6:30am-2am,,Brew Pub,https://www.freehousempls.com/,-93.27735339099995,44.98762544300007
140,Granite City Food & Brewery,RAM,Roseville,851 Rosedale Center,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/,-93.16965350099997,45.012863122000056
141,Granite City Food & Brewery,HPN,Maple Grove,11909 Main St,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/,-93.16965350099997,45.012863122000056
142,Granite City Food & Brewery,DAK,Eagan,3330 Pilot Knob Rd,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,,-93.16965350099997,45.012863122000056
143,Granite City Food & Brewery,STR,Saint Cloud,3945 2nd St S,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,,-93.16965350099997,45.012863122000056
144,Nutmeg Brewhouse,RAM,Arden Hills,3673 Lexington Ave N,,,,,,,,,Brew Pub,http://nutmegbrewhouse.com/,-93.14792477899994,45.05197639600005
145,Nutmeg Brewhouse,DAK,Burnsville,1905 Co Rd 42 W,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,,Brew Pub,http://nutmegbrewhouse.com/,-93.14792477899994,45.05197639600005
146,Roma Restaurant & Brewery,WAS,Willernie,310 Stillwater Rd,11am-9pm,11am-9pm,11am-9pm,11am-9pm,11am-10pm,11am-10pm,11am-9pm,,Brew Pub,http://www.roman-market.com/brewery,-92.95795670299998,45.05717749500007
147,Granite City Food & Brewery,RAM,Roseville,851 Rosedale Center,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/,-93.43196913699995,45.090547595000025
148,Granite City Food & Brewery,HPN,Maple Grove,11909 Main St,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/location/eagan-minnesota/,-93.43196913699995,45.090547595000025
149,Granite City Food & Brewery,DAK,Eagan,3330 Pilot Knob Rd,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,,-93.43196913699995,45.090547595000025
150,Granite City Food & Brewery,STR,Saint Cloud,3945 2nd St S,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,,-93.43196913699995,45.090547595000025
151,Chatterbox Pub,HPN,Minneapolis,2229 E 35th St,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,10am-1am,10am-1am,,Brew Pub,http://www.chatterboxpub.net/,-93.32865425599994,44.92128554100003
152,Town Hall Station,HPN,Edina,4500 Valley View Rd,,,,,,,,,Brew Pub,http://townhallstation.com/,-93.33947930199997,44.89199058800005
153,Birch's on the Lake Brewhouse,HPN,Long Lake,1310 W Wayzata Blvd,,,11am-12am,11am-12am,11am-12am,10am-12am,10am-2pm,,Brew Pub,http://www.birchsonthelake.com/,-93.55623971499995,44.98529127600004
154,Granite City Food & Brewery,RAM,Roseville,851 Rosedale Center,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com,-93.16651967499996,44.83641437800002
155,Granite City Food & Brewery,HPN,Maple Grove,11909 Main St,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/,-93.16651967499996,44.83641437800002
156,Granite City Food & Brewery,DAK,Eagan,3330 Pilot Knob Rd,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com,-93.16651967499996,44.83641437800002
157,Union 32 Craft House,DAK,Eagan,2864 Hwy 55,,,,,,,,,Brew Pub,https://www.union32crafthouse.com,-93.13093072899994,44.85383986100004
158,Nutmeg Brewhouse,RAM,Arden Hills,3673 Lexington Ave N,,,,,,,,,Brew Pub,http://nutmegbrewhouse.com,-93.30368441199994,44.745793450000065
159,Nutmeg Brewhouse,DAK,Burnsville,1905 Co Rd 42 W,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,,Brew Pub,http://nutmegbrewhouse.com,-93.30368441199994,44.745793450000065
160,Lazy Loon Brewing,CAR,Norwood Young America,305 Wilson St E,1pm-8pm,1pm-8pm,1pm-8pm,1pm-8pm,1pm-10pm,1pm-10pm,1pm-8pm,"bowling, guest beer, wine, other drink options",Brew Pub,http://www.lazyloonbrewing.com/,-93.92152721499997,44.77023641100004
161,Lakeville Brewing Co.,DAK,Lakeville,8790 Upper 208th St W,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,11am-11pm,9am-11pm,9am-9pm,,Brew Pub,https://lakevillebrewing.com,-93.24385409699995,44.64772790100006
162,Great Waters Restaurant & Brewing Co.,,SAINT PAUL,406 ST PETER ST,,11am - 2am,11am - 2am,11am - 2am,11am - 2am,11am - 2am,11am - 2am,,Brew Pub,http://greatwatersbc.com,-93.09689253699996,44.94666838900008
163,Forager Brewing,OLM,Rochester,1005 6th St NW,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,10am-11pm,,Brew Pub,https://foragerbrewery.com,-92.47825444699997,44.02948582500004
164,Grand Rounds Brewpub,OLM,Rochester,4 3rd St SW,11am-10pm,11am-10pm,11am-10pm,11am-12am,11am-12am,11am-12am,12pm-8pm,,Brew Pub,https://grandroundsbrewing.com,-92.46331128799993,44.02027523900005
165,Reads Landing Brewing Co.,,READS LANDING,904-906 9TH AVE,,,,,,,,,,https://www.rlbrewingco.com,-92.07879355799999,44.40274118700006
166,Bub's Brewing Co.,WIN,Winona,65 East 4th St,11:30am-1am,11:30am-1am,11:30am-1am,11:30am-1am,11:30am-1am,11:30am-1am,11:30am-1am,,Brew Pub,http://www.bubsbrewingco.com,-91.63650577899995,44.05106754700006
167,Wellington's Backwater Brewpub,WIN,Winona,1429 W Service Dr,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,,Brew Pub,http://wellingtons-pubandgrill.com/wellingtons/,-91.67596585299998,44.04627239800004
168,Barley John's,RAM,New Brighton,781 Old Highway 8 SW,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,,,Brew Pub,http://www.barleyjohns.com/,-93.19816626499994,45.03614780100002
169,Granite City Food & Brewery,RAM,Roseville,851 Rosedale Center,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/,-94.20638620499994,45.55005762000008
170,Granite City Food & Brewery,HPN,Maple Grove,11909 Main St,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/,-94.20638620499994,45.55005762000008
171,Granite City Food & Brewery,DAK,Eagan,3330 Pilot Knob Rd,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/location/st-cloud-minnesota/,-94.20638620499994,45.55005762000008
172,Granite City Food & Brewery,STR,Saint Cloud,3945 2nd St S,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.gcfb.com/location/st-cloud-minnesota/,-94.20638620499994,45.55005762000008
173,Urban Lodge Brewery & Restaurant,BEN,Sauk Rapids,415 N Benton Dr,11am-10pm,11am-10pm,11am-10pm,11am-11pm,11am-11pm,11am-11pm,11am-10pm,,Brew Pub,http://urbanlodgebrewery.com/,-94.17157064299992,45.59224156400006
174,Union Pizza and Brewery,OTT,Fergus Falls,114 South Union,,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,,,Brew Pub,http://unionpizzaandbrewing.com/,-96.07805821499994,46.28300974700005
175,Oakhold brewery,BEC,Detroit Lakes,200 W Lake Dr,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,part of Lakeside Tavern,Brew Pub,http://www.oakholdbrewery.com/,-95.84761918299995,46.806553447000056
176,Dubn Linn Irish Brewpub,,DULUTH,109 W SUPERIOR ST,,,,,,,,,,https://dubhlinnpub.com/,-92.10002673599996,46.78575381800004
177,Canal Park Brewing Co.,STL,Duluth,300 Canal Park Dr,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-12am,11am-12am,11am-11pm,"2016 - 1,200 barrels produced",Brew Pub,https://canalparkbrewery.com/,-92.09409550799995,46.78472502000005
178,Fitger's Brewhouse,STL,Duluth,600 E Superior St,11am-10pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-10pm,"2016 - 1,862 barrels produced",Brew Pub,https://fitgersbrewhouse.com/,-92.09072827399996,46.792433472000035
179,Boathouse Brewpub and Restaurant,STL,Ely,47 E Sheridan St,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,2016 - 275 barrels produced,Brew Pub,http://boathousebrewpub.com/,-91.86565169999993,47.90334780900007
180,Loony's Brew,KOO,Ranier,3481 Main St,4pm-1am,4pm-1am,4pm-1am,4pm-1am,4pm-1am,4pm-1am,4pm-10pm,,Brew Pub,http://www.loonysbrew.com/,-93.34818315399995,48.61544488900006
181,Gun Flint Tavern & Brewpub,COO,Grand Marais,111 W Wisconsin St,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,2016 - 200 barrels produced,Brew Pub,http://www.gunflinttavern.com/,-90.33522369599997,47.74943536500006
182,Carmody Irish Pub,STL,Duluth,308 E Superior St,3pm-12am,3pm-12am,3pm-12am,3pm-12am,3pm-12am,3pm-12am,3pm-12am,2016 - 115 barrels produced,Brew Pub,http://www.carmodyirishpub.com/,-92.09397233799994,46.78996204000003
183,Rock Bottom Brewery,HPN,Minneapolis,800 LaSalle Plaza,11am-1am,11am-1am,11am-1am,11am-1am,11am-2am,11am-2am,11am-1am,,Brew Pub,https://www.rockbottom.com/locations/minneapolis/,-93.27658310199998,44.97639602200007
184,The Herkimer Pub & Brewery,HPN,Minneapolis,2922 Lyndale Ave S,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am,,Brew Pub,http://www.theherkimer.com/the-beer/,-93.28839030899998,44.949119542000055
185,Town Hall Lanes,HPN,Minneapolis,5019 S 34th Ave,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.thlanes.com/,-93.22268696899994,44.911883605000064
186,Northbound Smokehouse,HPN,Minneapolis,2617 E 38th St,11am-1am,11am-1am,11am-1am,11am-1am,11am-2am,11am-2am,11am-1am,,Brew Pub,http://northboundbrewpub.com/,-93.23241552299999,44.93423686700003
187,Town Hall Tap,HPN,Minneapolis,4810 Chicago Ave S,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,,Brew Pub,http://www.townhalltap.com/contactlocation/,-93.26283439099996,44.91575208000006
188,Town Hall Brewery,HPN,Minneapolis,1430 Washington Ave S,11am-1am,11am-1am,11am-1am,11am-1am,11am-2am,11am-2am,11am-12am,,Brew Pub,http://www.townhallbrewery.com/,-93.24774417999998,44.97330508400005
189,August Schell Brewing Co.,,New Ulm,"1860 Schell Road, New Ulm, MN, 56073",,,,,,,,,Brewery,http://www.schellsbrewery.com/,-94.44995519999996,44.28938430000005
190,Bad Weather Brewing Co.,,Saint Paul,"414 7th Street West, St. Paul, MN, 55102",,,,,,,,,Brewery,http://www.badweatherbrewery.com/,-93.11019949999998,44.93893510000003
191,Bang Brewing,,Saint Paul,"2320 Capp Road, St. Paul, MN, 55114",,,,,,,,,Brewery,http://bangbrewing.com/,-93.19259059999996,44.97048070000005
192,Beaver Island Brewing,,St. Cloud,"216 6th Avenue South, St Cloud, MN, 56301",,,,,,,,,Brewery,http://beaverislandbrew.com/,-94.15692299999995,45.55842450000006
193,Blacklist Brewing Company,,Duluth,"211 E 2ND ST, DULUTH, MN, 55805",,,,,,,,,Brewery,http://www.blacklistbrewing.com/,-92.09768591999995,46.79030051900003
194,Boom Island Brewing Co.,,Minneapolis,"2014 Washington Avenue North #300, Minneapolis, MN, 55411",,,,,,,,,Brewery,http://boomislandbrewing.com/,-93.28147609999996,44.999875200000076
195,Burning Brothers Brewing Co.,,Saint Paul,"1750 Thomas Avenue, St. Paul, MN, 55104",,,,,,,,,Brewery,http://www.burnbrosbrew.com/,-93.17426629999994,44.958819100000035
196,Gull Dam Brewing,,Nisswa,"23836 SMILEY RD, NISSWA, MN, 56468",,,,,,,,,Brewery,http://gulldambrewing.com/,-94.28695351899995,46.51797890000005
197,Hammerheart Brewinging Co.,,Lino Lakes,"7785 Lakes Drive, Lino Lakes, MN, 55014",,,,,,,,,Brewery,http://www.hammerheartbrewing.com/,-93.10705609999997,45.18907790000003
198,Harriet Brewing,,Minneapolis,"3036 Minnehaha Ave., Minneapolis, MN, 55406",,,,,,,,,Brewery,http://www.harrietbrewing.com/,-93.23387039999994,44.94714440000006
199,Hayes Public House,,Buffalo,"112 1ST ST S, BUFFALO, MN, 55313",,,,,,,,,Brewery,http://www.hayespublichouse.com/,-93.87459660199994,45.17093093300008
200,Indeed Brewing Co.,,Minneapolis,"711 15th Ave. NE, Minneapolis, MN, 55413",,,,,,,,,Brewery,http://www.indeedbrewing.com/,-93.25160639999996,45.003484300000025
201,Lake Superior Brewing Co.,,Duluth,"2711 W SUPERIOR ST, DULUTH, MN, 55806",,,,,,,,,Brewery,http://www.lakesuperiorbrewing.com/,-92.13188176099999,46.76111976300007
202,Lucid Brewing,,Minnetonka,"6020 Culligan Way, Minnetonka, MN, 55345",,,,,,,,,Brewery,http://www.lucidbrewing.com/,-93.44972499999996,44.89521800000006
203,Mantorville Brewing Co.,,Mantorville,"101 East Fifth Street, Mantorville, MN, 55955",,,,,,,,,Brewery,http://www.mantorvillebeer.com/,-92.75431319999994,44.066693800000046
204,NorthGate,,Minneapolis,"783 Harding Street NE, Minneapolis, MN, 55413",,,,,,,,,Brewery,http://www.northgatebrew.com/,-93.22114959999999,44.998340600000056
205,Olvalde Farm and Brewing Company,,Rollingstone,"16557 County Road 25, Rollingstone, MN, 55969",,,,,,,,,Brewery,http://olvalde.com/,-91.8189963,44.09926660000007
206,Sidhe Brewing Co.,,Saint Paul,"990 Payne Avenue, St. Paul, MN, 55130",,,,,,,,,Brewery,http://www.sidhebrewing.com/,-93.07310599999994,44.97096700000003
207,Sisyphus Brewing,,Minneapolis,"712 Ontario Avenue West, Minneapolis, MN, 55403",,,,,,,,,Brewery,http://www.sisyphusbrewing.com/,-93.28892499999996,44.97322300000008
208,South Fork Brewing Co.,,Delano,"221 2ND ST N, DELANO, MN, 55328",,,,,,,,,Brewery,http://southforkbrewingcompany.com/,-93.78788499999995,45.04222929200006
209,Take 16 Brewing,,Luverne,"509 E MAIN ST, LUVERNE, MN, 56156",,,,,,,,,Brewery,http://www.surlybrewing.com/,-96.20425576999997,43.654185505000044
210,Vine Park Brewing Co.,,Saint Paul,"1254 West 7th, St. Paul, MN, 55102",,,,,,,,,Brewery,http://www.vinepark.com/,-93.13433649999995,44.92224080000006
211,Fair State Brewing Coop.,HPN,Minneapolis,2506 Central Ave NE,4pm-11pm,4pm-11pm,4pm-11pm,4pm-11pm,2pm-12am,12pm-12am,12pm-9pm,,Brewery,http://fairstate.coop/,-93.247399353,45.013545000000086
212,Boom Island Brewing ,HPN,Minneapolis,2014 Washington Ave N,,,4pm-9pm,4pm-9pm,4pm-9pm,1pm-9pm,1pm-6pm,,Brewery,http://boomislandbrewing.com/,-93.28173365799995,44.99986500000006
213,Pryes Brewing Co.,HPN,Minneapolis,1401 W River Rd N,,,4pm-10pm,4pm-11pm,3pm-12am,11am-12am,11am-9pm,,Brewery,https://www.pryesbrewing.com/,-93.27606264199993,44.994047525000035
214,Lakes & Legends Brewing Co,HPN,Minneapolis,1368 LaSalle Ave,,3pm-10pm,3pm-10pm,3pm-10pm,3pm-12am,12pm-12am,12pm-10pm,,Brewery,http://lakesandlegends.com,-93.27936032099996,44.96907622000004
215,HeadFlyer Brewing Co.,HPN,Minneapolis,861 E Hennepin Ave,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,2pm-12am,12pm-12am,12pm-9pm,,Brewery,http://www.headflyerbrewing.com/,-93.21065499999997,44.89612500000004
216,56 Brewing Co.,HPN,Minneapolis,3055 Columbia St NE,4pm-10pm,4pm-10pm,4pm-10pm,4pm-11pm,12pm-12am,12pm-12am,11am-8pm,,Brewery,http://56brewing.com/,-93.27284364999997,45.02367900000006
217,Tin Whiskers Brewing Co.,RAM,Saint Paul,125 E 9th St,,4pm-10pm,4pm-10pm,4pm-10pm,3pm-11pm,12pm-11pm,12pm-8pm,,Brewery,http://twbrewing.com/,-93.09347398999994,44.95071801000005
218,Urban Growler,RAM,Saint Paul,2325 Endicott St,,11am-10pm,11am-10pm,11am-10pm,11am-11pm,11am-11pm,11am-8pm,,Brewery,http://www.urbangrowlerbrewing.com/,-93.19347859899995,44.970128977000066
219,Flat Earth Brewing,RAM,Saint Paul,688 Minnehaha Ave E,,3:30pm-9:30pm,3:30pm-8pm,3:30pm-10pm,3:30pm-11pm,12pm-11pm,12pm-6:30pm,,Brewery,http://flatearthbrewing.com,-93.07410252299998,44.962896063000066
220,LTD Brewing,HPN,Hopkins,725 Main St,4pm-10pm,4pm-10pm,4pm-10pm,3pm-10pm,2pm-12am,12pm-12am,12pm-10pm,,Brewery,http://www.ltdbrewing.com/,-93.40917541799996,44.92446020500005
221,Wayzata Brew Works,HPN,Wayzata,294 Grove Ln E,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,2pm-12am,12pm-12am,12pm-8pm,,Brewery,http://www.wayzatabrewworks.com/,-93.51806344499994,44.96991746600003
222,Steel Toe Brewing,HPN,Saint Louis Park,4848 W 35th St,,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,12pm-10pm,12pm-6pm,,Brewery,http://www.steeltoebrewing.com/,-93.34120196399992,44.94071239400005
223,Schram Vineyards Winery & Brewery,CAR,Waconia,8785 Airport Rd,,,,1pm-9pm,1pm-9pm,12pm-9pm,12pm-5pm,summer hours April - October,Brewery,http://schramvineyards.com/,-93.74582265799995,44.84415653600007
224,ENKI Brewing Co.,CAR,Victoria,1495 Stieger Lake Ln,,4pm-10pm,4pm-10pm,4pm-10pm,2pm-10pm,12pm-10pm,12pm-7pm,new location,Brewery,http://www.enkibrewing.com/,-93.62375999999995,44.86865000000006
225,Hoops Brewing,STL,Duluth,325 Lake Ave S,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brewery,https://hoopsbrewing.com/,-92.095740397,46.78310451700001
226,Big Axe Brewing Co.,CRO,Nisswa,25435 Main St,12pm-9pm,12pm-9pm,12pm-9pm,12pm-9pm,12pm-11pm,12pm-10pm,12pm-6pm,,Brewery,http://www.bigaxebrewing.com/,-94.28876364999998,46.51988998300004
227,Lupine Brewing Co.,WRI,Delano,248 N. River St,,,4pm-10pm,4pm-10pm,4pm-11pm,2pm-11pm,2pm-6pm,,Brewery,http://lupinebrewing.com,-93.78929209999995,45.04271374900003
228,Starkeller Brewing Co.,BRO,New Ulm,2215 N Garden St,,,,,4pm-8pm,12pm-8pm,12pm-4pm,owned by Schell's,Brewery,http://schellsbrewery.com/locations/starkeller-brewery/,-94.49195056699995,44.332827189000064
229,Bank Brewing,LIN,Hendricks,200 S Main St,,,,,4pm-8pm,4pm-8pm,,,Brewery,http://www.bankbrewing.com,-96.42578382599999,44.50599666800007
230,Day Block Brewing Co,HPN,Minneapolis,1105 Washington Ave S,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,,Brew Pub,https://www.dayblockbrewing.com,-93.25294126499993,44.97517565500004
231,Great Waters Restaurant & Brewing Co,RAM,Saint Paul,426 Saint Peter St,11am-2am,11am-2am,11am-2am,11am-2am,11am-2am,11am-2am,11am-2am,,Brew Pub,http://www.restaurantstpaulmn.com/,-93.10084571499999,44.950546118000034
232,Lazy Loon Lanes,CAR,Norwood Young America,305 Wilson St E,1pm-8pm,1pm-8pm,1pm-8pm,1pm-8pm,1pm-10pm,1pm-10pm,1pm-8pm,"bowling, guest beer, wine, other drink options",Brew Pub,http://lovetheloon.com/bowling.html,-93.92138567799998,44.77042757200007
233,Dubh Linn Irish Brew Pub,STL,Duluth,109 W Superior St,11am-2am,11am-2am,11am-2am,11am-2am,11am-2am,11am-2am,,2016 - 150 barrels produced,Brew Pub,https://dubhlinnpub.com/,-92.09982991099997,46.78565603100002
234,Reads Landing Brewing Co,WAB,Reads Landing,70555 202nd St,,,11am-9pm,11am-9pm,11am-10pm,11am-10pm,12pm-9pm,,Brew Pub,https://www.rlbrewingco.com,-92.07884311199996,44.40287764000004
235,Hoppy Girl Brewing,WAB,Wabasha,136 Bridge Ave,late summer 17,confused on the name,,,,,,,Brew Pub,http://www.hoppygirlbrewing.com,-92.03564506499998,44.38443975000007
